page_id,page_name,disclaimer,amount_spent,number_of_ads,organisation_type
332170236842216,Vattenfall,Vattenfall Oy,49252,7,Oy
201285237101,Kokoomus,Kokoomus,41838,767,Kok
55312855747,Keskusta,Suomen Keskusta r.p.,30474,52,Kesk
33722070600,Vihreät - De Gröna,Vihreä liitto rp.,29442,73,Vihr
60390955171,Vasemmistoliitto,Vasemmistoliitto,27203,65,Vas
181106108341,Perussuomalaiset,Perussuomalaiset,22360,42,PS
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,22164,111,Ry
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,19293,181,SDP
78648671844,Julkisten ja hyvinvointialojen liitto JHL,Julkisten ja hyvinvointialojen liitto JHL,18984,12,Ay
119054448115588,WWF Suomi,WWF Suomi,13809,126,Ry
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,13145,14,KD
274800030869,Pohjanmaan Kokoomus,Pohjanmaan Kokoomus,12051,91,Kok
309459326150013,Teollisuusliitto,Teollisuusliitto,12011,139,Ay
608420329206042,Vantaan Kokoomus,Vantaan Kokoomus ry,9010,30,Kok
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,8217,74,Ry
152543404772052,Espoon Kokoomus,Espoon Kokoomus,7940,65,Kok
249421507648,Uudenmaan Kokoomus,Uudenmaan Kokoomus,7577,108,Kok
9227859351,Greenpeace Suomi,Greenpeace Suomi,7244,58,Ry
126626144024824,Kuntaliitto - Kommunförbundet,Suomen Kuntaliitto ry,6255,30,Ry
231250833663601,SDP Helsinki,Helsingin Sosialidemokraatit ry,5588,9,SDP
276456079047756,Uudenmaan Vihreät,Uudenmaan Vihreät,5480,28,Vihr
963523287006499,Vantaan Demarit,Vantaan Sosialidemokraattinen Kunnallisjärjestö ry,5430,73,SDP
310886696101,Pohjois-Pohjanmaan Kokoomus,Pohjois-Pohjanmaan Kokoomus,5263,4,Kok
106182026091369,Vantaan Vihreät,Vantaan Vihreät,5050,4,Vihr
229433767936563,Lääkärit Ilman Rajoja,Lääkärit Ilman Rajoja,4777,46,Ry
530248110334767,Kokoomus Seinäjoella,Kokoomuksen Seinäjoen Kunnallisjärjestö Ry,4575,50,Kok
114814570433596,Perussuomalaiset Keski-Pohjanmaa,Perussuomalaiset Keski-Pohjanmaa,4560,33,PS
316629460263,Fida International ry,Fida International Ry,4364,23,Ry
164737363576382,SDP Tampere,SDP Tampere,4259,13,SDP
144821005614879,SFP i Nyland - RKP Uusimaa,Svenska folkpartiet i Nyland,4248,83,RKP
74636688310,Vantaan kaupunki - Vanda Stad - City of Vantaa,Vantaan kaupunki,4150,15,Kaupunki
163297240439657,Tamperelainen Kokoomus,Kokoomuksen Tampereen Aluejärjestö,4000,12,Kok
912073912162853,Vasemmisto Jyväskylässä,Vasemmisto Jyväskylässä,3840,16,Vas
271311152007,Plan International Suomi,Plan International Suomi,3827,61,Ry
104389332170423,Jyväskylän seudun Perussuomalaiset ry,Jyväskylän seudun Perussuomalaiset ry,3618,30,PS
299075588404,Uudenmaan Keskusta,Keskustan Uudenmaan piiri ry,3577,19,Kesk
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,3182,48,Ry
187930584589013,Espoon Vasemmisto,Espoon Vasemmisto,3119,64,Vas
113957098615260,Keski-Suomen Vihreät,Keski-Suomen Vihreät,3083,13,Vihr
111701177106115,Perussuomalainen Nuoriso,Perussuomalainen Nuoriso ry,3077,14,PS
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,3068,44,RKP
74247674998,SAK - Suomen Ammattiliittojen Keskusjärjestö,SAK - Suomen Ammattiliittojen Keskusjärjestö,3051,10,Ay
332408440627,Hämeen Vihreät,Hämeen Vihreät,3000,3,Vihr
582595551826417,Rapport,Rapport Journalismi Oy,2970,28,Oy
345317381991437,Uusi Juttu,Uusi Juttu,2957,37,Oy
185166421528433,Turun vihreät,Turun vihreä kunnallisjärjestö ry,2768,26,Vihr
541646375868442,Kuopion Keskusta,Keskustan Kuopion kunnallisjärjestö ry,2754,172,Kesk
61429592049,All Things Live Finland,All Things Live Finland Oy,2718,1,Oy
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,2681,43,Ry
1381488988532551,Malmin lentoaseman ystävät,Malmin lentoaseman ystävät,2644,6,Ry
129286757147002,Tehy ry,Tehy ry,2637,25,Ay
103846214801116,Laukaan Perussuomalaiset,Laukaan Perussuomalaiset ry,2560,8,PS
432577913422309,SDP Kerava,SDP Kerava,2480,37,SDP
194677504471503,Liike Nyt,Liike Nyt,2469,18,LiikeNyt
131939400313423,Porvoon Demarit - Borgå Socialdemokrater,Porvoon Demarit - Borgå Socialdemokrater,2460,18,SDP
536101099765762,Helsingin kaupunki - Helsingfors stad - City of Helsinki,Helsingin kaupunki - Helsingfors stad - City of Helsinki,2438,13,Kaupunki
499820690502400,Helsingin tieteen ja teknologian vihreät,Helsingin tieteen ja teknologian vihreät,2354,71,Vihr
160515170666877,Savo-Karjalan vihreät,Savo-Karjalan vihreät ry,2278,15,Vihr
229309442980,Hämeen Kokoomus,Hämeen Kokoomus ry,2151,40,Kok
107111462655596,Länsiväylä,Länsiväylä,2123,99,Oy
570764713379821,Otava Oppimisen palvelut,Otava Oppimisen palvelut,2116,58,Oy
327193342274,Pohjois-Pohjanmaan Vasemmisto,Pohjois-Pohjanmaan Vasemmisto,2094,22,Vas
7692825311,Suomen World Vision,Suomen World Vision,2035,33,Oy
71160793231,Suomi.fi,Digi- ja väestötietovirasto,2000,1,Valtio
289704907716370,Uudenmaan Perussuomalaiset,Uudenmaan Perussuomalaiset,2000,1,PS
1394324444206771,Helsingin Keskusta,Helsingin Keskusta,1996,24,Kesk
433087293448371,Tiedekulma,Tiedekulma,1966,14,Yliopisto
260432933428,Helsingin Kokoomus,Helsingin Kokoomus,1965,60,Kok
218162104870945,Turun Vasemmisto,Turun Vasemmistoliitto ry,1961,10,Vas
400489896705745,Tikkurilan Työväenyhdistys ry,Tikkurilan Työväenyhdisty ry,1940,8,Ry
351237294958923,Forssan Kokoomus,Forssan Kokoomus ry.,1933,54,Kok
107086122672929,Savon Sanomat,Savon Sanomat,1890,37,Oy
189362187761641,Nuorisoala ry,Nuorisoala ry,1863,4,Ry
358235820866228,Tuusulan puolesta ry,Tuusulan puolesta ry,1860,129,Ry
471835972836669,Oulun Vasemmisto,Oulun Vasemmisto,1819,44,Vas
286707821444604,Joensuun Perussuomalaiset,Joensuun Perussuomalaiset,1791,38,PS
1619665441594731,Uudenmaan Keskustanaiset,Uudenmaan Keskustanaiset,1766,5,Kesk
536184636556062,Oulun Kokoomus,Oulun Kokoomus,1747,8,Kok
109192862437316,Vantaan Sanomat,Vantaan Sanomat,1703,112,Oy
152603821504784,SFP i Esbo / RKP Espoo,SFP i Esbo / RKP Espoo,1695,38,RKP
174049752448222,Kumpi on koukussa?,Kumpi on koukussa?,1673,5,NaN
