page_id,page_name,disclaimer,amount_spent,number_of_ads,organisation_type,price_per_ad
332170236842216,Vattenfall,Vattenfall Oy,49252,7,Oy,7036.0
582595551826417,Rapport,Rapport Journalismi Oy,2970,28,Oy,106.07142857142857
345317381991437,Uusi Juttu,Uusi Juttu,2957,37,Oy,79.91891891891892
61429592049,All Things Live Finland,All Things Live Finland Oy,2718,1,Oy,2718.0
107111462655596,Länsiväylä,Länsiväylä,2123,99,Oy,21.444444444444443
570764713379821,Otava Oppimisen palvelut,Otava Oppimisen palvelut,2116,58,Oy,36.48275862068966
7692825311,Suomen World Vision,Suomen World Vision,2035,33,Oy,61.666666666666664
107086122672929,Savon Sanomat,Savon Sanomat,1890,37,Oy,51.08108108108108
109192862437316,Vantaan Sanomat,Vantaan Sanomat,1703,112,Oy,15.205357142857142
108538215848910,Länsi-Uusimaa,Länsi-Uusimaa,1489,47,Oy,31.680851063829788
117401001618470,ESS.fi - Etlari verkossa,Etelä-Suomen Sanomat,1447,31,Oy,46.67741935483871
118714761478292,Keski-Uusimaa,Keski-Uusimaa,1339,55,Oy,24.345454545454544
126757820675243,KSML.fi - Keskisuomalainen,Keskisuomalainen,1332,41,Oy,32.48780487804878
116383805046145,Aamuposti,Aamuposti,1318,43,Oy,30.651162790697676
125564877468299,Sanomalehti Karjalainen,Sanomalehti Karjalainen,1314,12,Oy,109.5
337865799564409,K-ryhmä,K-ryhmä,1199,2,Oy,599.5
284401019712,Lapin Kansa,Kaleva 365 Oy,1131,6,Oy,188.5
297768788714,Kaleva,Kaleva365 Oy,1118,4,Oy,279.5
131879190206726,Hämeen Sanomat,Hämeen Sanomat,751,24,Oy,31.291666666666668
176678846392107,Tankesmedjan Agenda - Ajatushautomo Agenda,Tankesmedjan Agenda Ajatushautomo,724,4,Oy,181.0
322478695679,Länsi-Savo,Länsi-Savo,580,24,Oy,24.166666666666668
187124801619019,Osuuskunta Tradeka,Osuuskunta Tradeka,569,2,Oy,284.5
192210228734,Kouvolan Sanomat,Kouvolan Sanomat,554,26,Oy,21.307692307692307
279407225425058,Forssan Lehti,Hämeen Media,485,16,Oy,30.3125
157359987610086,Sipoon Sanomat,Sipoon Sanomat,461,36,Oy,12.805555555555555
176840835666465,Rantalakeus,Kaleva365 Oy,442,5,Oy,88.4
110530301656011,Suomi 125,Take Action Studios Oy,437,3,Oy,145.66666666666666
283762588316103,Pohjois-Karjalan Osuuskauppa,Pohjois-Karjalan Osuuskauppa,412,5,Oy,82.4
104418794504506,LähiTapiola Kiinteistövarainhoito,LähiTapiola Kiinteistövarainhoito,400,2,Oy,200.0
1106285056054221,Vaasan Sähkö - Vasa Elektriska,Vaasan Sähkö - Vasa Elektriska,390,2,Oy,195.0
355695141779,Itä-Savo,Itä-Savo,388,14,Oy,27.714285714285715
237584782429,Iltalehti,Alma Media Suomi Oy,379,2,Oy,189.5
232301376874442,Osuuskauppa Hämeenmaa,S-ryhmä,371,5,Oy,74.2
1664366303806156,Gyproc Suomi,Gyproc Suomi,371,3,Oy,123.66666666666667
138834982821944,Kauppalehti,Kauppalehti,349,2,Oy,174.5
188627167849573,Kymen Sanomat,Kymen Sanomat,341,18,Oy,18.944444444444443
720258011324226,Kuopion Liikekirjapaino Oy,Kuopion Liikekirjapaino Oy,334,2,Oy,167.0
160840797298202,Sydänliitto,Sydänliitto,332,3,Oy,110.66666666666667
108645532511991,Tamperelainen,Tamperelainen,313,27,Oy,11.592592592592593
617033254817917,ARChie Productions Finland tv,ARChie Productions Finland TV,292,13,Oy,22.46153846153846
304084226119264,Nopeet.fi,Nopeet.fi,279,2,Oy,139.5
312370502489979,Loviisan Sanomat,Loviisan Sanomat,279,34,Oy,8.205882352941176
1425040501085997,Pyhäjokiseutu-lehti,Kaleva365 Oy,273,2,Oy,136.5
102072273177850,Uutisvuoksi,Uutisvuoksi,261,11,Oy,23.727272727272727
155668057786557,Raahen Seutu & Raahelainen,Kaleva365 Oy,251,2,Oy,125.5
113823118631579,Helsingin Uutiset,Helsingin Uutiset,240,19,Oy,12.631578947368421
146594745401444,Iisalmen Sanomat,Iisalmen Sanomat,190,4,Oy,47.5
621320841056790,Rovaniemelle talviolympialaiset 2042,Evigo Oy,164,6,Oy,27.333333333333332
164760106883850,Koillissanomat,Kaleva365 Oy,164,2,Oy,82.0
131524090233337,Turun Sanomat,Turun Sanomat,129,3,Oy,43.0
