page_id,page_name,disclaimer,amount_spent,number_of_ads,organisation_type,price_per_ad
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,22164,111,Ry,199.67567567567568
119054448115588,WWF Suomi,WWF Suomi,13809,126,Ry,109.5952380952381
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,8217,74,Ry,111.04054054054055
9227859351,Greenpeace Suomi,Greenpeace Suomi,7244,58,Ry,124.89655172413794
126626144024824,Kuntaliitto - Kommunförbundet,Suomen Kuntaliitto ry,6255,30,Ry,208.5
229433767936563,Lääkärit Ilman Rajoja,Lääkärit Ilman Rajoja,4777,46,Ry,103.84782608695652
316629460263,Fida International ry,Fida International Ry,4364,23,Ry,189.7391304347826
271311152007,Plan International Suomi,Plan International Suomi,3827,61,Ry,62.73770491803279
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,3182,48,Ry,66.29166666666667
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,2681,43,Ry,62.348837209302324
1381488988532551,Malmin lentoaseman ystävät,Malmin lentoaseman ystävät,2644,6,Ry,440.6666666666667
400489896705745,Tikkurilan Työväenyhdistys ry,Tikkurilan Työväenyhdisty ry,1940,8,Ry,242.5
189362187761641,Nuorisoala ry,Nuorisoala ry,1863,4,Ry,465.75
358235820866228,Tuusulan puolesta ry,Tuusulan puolesta ry,1860,129,Ry,14.418604651162791
123692197698005,UN Women Suomi,Suomen UN Women,1511,18,Ry,83.94444444444444
242197705820950,SEY Suomen eläinsuojelu,SEY Suomen eläinsuojelu,1239,7,Ry,177.0
346589775365362,Otalammen Työväenyhdistys r.y.,Otalammen työväenyhdistys ry,1109,8,Ry,138.625
1160563597403601,Suomen Olympiakomitea,Suomen Olympiakomitea,1105,30,Ry,36.833333333333336
54313274188,Naisten Pankki,Naisten Pankki,1037,68,Ry,15.25
281523996677,Suomen Yrittäjät,Suomen Yrittäjät,1017,5,Ry,203.4
111832608840937,Invalidiliitto,Invalidiliitto Ry,898,32,Ry,28.0625
21461560968,Maailma kylässä | World Village Festival,Maailma kylässä -festivaali,836,56,Ry,14.928571428571429
844289392292867,Maanomistajain Liitto,Maanomistajain Liitto,836,5,Ry,167.2
168324699852052,pieni ele,Pieni ele ry,715,2,Ry,357.5
163903613685550,Eurooppalainen Suomi ry,Eurooppalainen Suomi ry,664,6,Ry,110.66666666666667
102405421951029,Helsingfors Svenska Arbetarförening rf - HSAF,"Helsingfors Svenska Arbetarförening, rf",620,2,Ry,310.0
